Meeting Number,Meeting Date,Agenda Type,Agenda Number,Title,Decision,Progress So Far,Departments,Dept Status,CM Office Status,Timeline,Status
44,29.12.2025,AGENDA ITEM,01,"REQUEST FOR SUPPLEMENTARY GRANT OF RS. 3825.176 MILLION FOR ADP 2025-26 SCHEME NO. 140150 TITLED ""KP SAFE CITIES PROJECT""","-","-","Home & Tribal Affairs","Completed","On Target","07/01/2026 - Remaining 0 days",On Target
44,29.12.2025,AGENDA ITEM,02,"REPORT OF THE CABINET'S COMMITTEE CONSTITUTED VIDE ESTABLISHMENT DEPARTMENT NOTIFICATION NO. SOC(E7AD)9-26/2025 DATED 05-03-2025","-","-","Home & Tribal Affairs","","On Target","23/01/2026 - Remaining 16 days",On Target
44,29.12.2025,AGENDA ITEM,03,"DISTRIBUTION POLICY OF RESERVED SEATS IN MEDICAL/DENTAL COLLEGES FOR ERSTWHILE FATA CANDIDATES","-","-","Home & Tribal Affairs","","On Target","09/01/2026 - Remaining 2 days",On Target
44,29.12.2025,AGENDA ITEM,04,"REQUEST FOR COLLABORATION AND FINANCIAL SUPPORT OF RS. 25 MILLION FOR THE PAKISTAN POPULATION SUMMIT 2025","Ex-post facto sanction granted.","-","Finance","","Completed","06/01/2026",Completed
44,29.12.2025,AGENDA ITEM,05,"ESTABLISHMENT OF KHYBER PAKHTUNKHWA NATIONAL FINANCE COMMISSION (NFC) CELL AT SIDB PLAZA","-","-","Finance","","On Target","16/01/2026 - Remaining 9 days",On Target
44,29.12.2025,AGENDA ITEM,06,"FORMATION OF KHYBER PAKHTUNKHWA TAKAFUL COMPANY","-","-","Finance","","On Target","16/01/2026 - Remaining 9 days",On Target
44,29.12.2025,AGENDA ITEM,07,"RECONSTITUTION OF KHYBER PAKHTUNKHWA TRADE TESTING BOARD (KP-TTB)","-","-","Industries","","On Target","14/01/2026 - Remaining 7 days",On Target
44,29.12.2025,AGENDA ITEM,08,"PROVISION OF FUNDS FOR OFFSITE INFRASTRUCTURE AND SECURITY ENABLERS FOR RASHAKAI SEZ","-","Case taken up with FD on 02.01.2025","Finance, Industries","Completed (Industries)","On Target","16/01/2026 - Remaining 9 days",On Target
44,29.12.2025,AGENDA ITEM,09,"GRANT-IN-AID AMOUNTING TO RS. 168.10 MILLION TO KP EDUCATION FOUNDATION","-","-","Higher Education","","On Target","06/01/2026 - Remaining 0 days",On Target
44,29.12.2025,AGENDA ITEM,10,"REPLACEMENT OF 25 CONDEMNED VEHICLES FOR DISTRICT & SESSIONS JUDGES","-","Case taken up with FD on 02.01.2025","Law, Finance","Completed (Law)","On Target","20/01/2026 - Remaining 13 days",On Target
